Goethite,https://en.wikipedia.org/wiki/Goethite,Baraga,Calhoun,Dickinson,Gogebic,Iron,Jackson,Marquette,Monroe,Schoolcraft,VanBuren,,,,,,,,,,,,,,,
Gold,https://en.wikipedia.org/wiki/Gold,Allegan,Antrim,Baraga,Charlevoix,Dickinson,Emmet,Gogebic,Ingham,Ionia,Iron,Kalkaska,Kent,Leelanau,Livingston,Manistee,Marquette,Montcalm,Newaygo,Oakl,Oceana,Ontonagon,Ottawa,St. Joseph,Wexford,
Graphite,https://en.wikipedia.org/wiki/Graphite,Baraga,Dickinson,Gogebic,Iron,Livingston,Marquette,,,,,,,,,,,,,,,,,,,
Greenalite,https://en.wikipedia.org/wiki/Greenalite,Dickinson,Gogebic,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,
Greenockite,https://en.wikipedia.org/wiki/Greenockite,Iron,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,
Grunerite,https://en.wikipedia.org/wiki/Grunerite,Baraga,Dickinson,Gogebic,Iron,Marquette,,,,,,,,,,,,,,,,,,,,
Guerinite,https://en.wikipedia.org/wiki/Guerinite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Gypsum,https://en.wikipedia.org/wiki/Gypsum,Arenac,Baraga,Delta,Dickinson,Eaton,Gogebic,Houghton,Huron,Ionia,Iosco,Iron,Kent,Newaygo,Ogemaw,Ontonagon,Wayne,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Halite,https://en.wikipedia.org/wiki/Halite,Alpena,Bay,Houghton,Manistee,Mason,Midland,Newaygo,Presque Isle,Saginaw,St. Clair,Wayne,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloysite,https://en.wikipedia.org/wiki/Halloysite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Halotrichite,https://en.wikipedia.org/wiki/Halotrichite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Hausmannite,https://en.wikipedia.org/wiki/Hausmannite,Gogebic,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematite,https://en.wikipedia.org/wiki/Hematite,Dickinson,Gogebic,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Heulandite,https://en.wikipedia.org/wiki/Heulandite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Hisingerite,https://en.wikipedia.org/wiki/Hisingerite,Gogebic,,,,,,,,,,,,,,,,,,,,,,,,
Hollandite,https://en.wikipedia.org/wiki/Hollandite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornblende,https://en.wikipedia.org/wiki/Hornblende,Dickinson,Gogebic,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
Hydrocarbon,https://en.wikipedia.org/wiki/Hydrocarbon,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,,
